BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
AUS,2025-01-19 15:56:08,-36.8365425,174.767222,33.49,33.02,53.34,1.41,36.24,66.96,0.32,-9.75,54.51,-0.66,33.4,-5.41,-4.63,0.0,-3.38,-2.09,-0.95,4.45,4.39,1.21,0.03,376.42,419.5,731.61,6.91,2.62,6.88,1.98,-0.54,1.68,0.06,7.0,0.0,25011905.0,47.8,30.2,44.57,96.35,260.76,46.1,66.96
AUS,2025-01-19 16:06:00,-36.8339894,174.7617555,10.42,13.72,98.95,-39.31,36.0,53.63,-32.9,3.63,106.08,-7.36,7.35,-23.22,-23.06,0.0,-22.97,-22.98,-22.97,0.24,-2.27,0.05,2.21,35.99,4.62,312.68,-2.07,1.61,7.5,4.99,2.21,0.7,3.01,7.0,0.0,25011905.0,120.48,72.7,244.39,321.71,-175.01,249.3,53.63
AUS,2025-01-19 16:06:10,-36.8343048,174.7620979,22.98,24.18,185.82,-129.1,36.31,60.04,-89.9,5.79,181.82,0.28,-15.77,-6.11,-5.9,0.0,-6.39,-8.17,-5.96,0.18,-18.03,-1.47,2.24,-68.24,-226.32,-105.96,-7.99,1.59,6.62,4.99,1.54,0.69,7.57,7.0,0.0,25011905.0,110.48,-100.0,67.38,317.26,-130.5,66.9,57.65615647919254
AUS,2025-01-19 16:06:20,-36.8349428,174.7620348,26.68,27.26,177.18,-143.14,36.41,51.34,-96.72,-3.86,174.69,-3.16,-20.91,0.81,0.68,0.0,0.63,0.87,0.58,-0.22,-20.87,1.15,0.46,167.45,76.96,300.72,6.23,1.61,6.38,5.0,0.15,0.7,7.61,7.0,0.0,25011905.0,100.58,-100.0,48.73,261.85,-76.98,48.4,56.216361643680045
AUS,2025-01-19 16:06:30,-36.8356064,174.7626776,41.58,43.98,114.04,-76.17,37.02,42.61,-36.46,-8.71,113.63,-2.13,13.12,18.32,16.13,0.0,13.75,11.15,8.69,-9.73,-34.07,-0.83,-1.13,674.54,688.55,772.97,5.31,2.09,4.63,4.99,4.17,0.69,7.5,7.0,0.0,25011905.0,90.48,-100.0,37.2,249.79,12.23,37.8,45.781739788470944
AUS,2025-01-19 16:06:40,-36.8357198,174.7640012,40.22,42.99,99.14,-43.56,40.41,42.79,-22.15,6.71,101.5,-0.4,29.6,18.35,14.7,0.0,10.44,6.0,0.45,-17.8,-25.83,-0.83,0.76,600.82,631.95,753.68,-4.5,2.0,4.55,4.99,6.88,0.69,4.56,7.0,0.0,25011905.0,80.48,-100.0,54.0,245.78,80.64,53.7,41.9619974532989
AUS,2025-01-19 16:06:50,-36.8360504,174.7654064,37.11,37.91,110.05,-39.48,38.11,53.35,-20.19,2.49,111.81,-1.17,30.56,22.39,22.32,0.0,22.04,21.75,21.65,-0.75,-28.73,-0.4,3.66,300.65,169.44,357.89,-2.08,2.0,5.05,4.99,0.84,0.69,4.71,7.0,0.0,25011905.0,70.58,31.35,32.55,182.82,173.53,32.8,48.20370368621168
AUS,2025-01-19 16:07:00,-36.8364207,174.766394,30.3,32.29,112.22,-47.93,35.25,61.89,-26.93,-1.49,113.02,-1.8,19.23,22.31,19.26,0.0,15.49,11.52,7.27,-15.05,-23.8,-0.38,5.45,278.46,-35.92,285.72,1.12,2.01,6.62,4.99,1.06,0.69,4.72,7.0,0.0,25011905.0,60.48,41.65,23.99,123.17,247.93,23.7,59.37644623307367
AUS,2025-01-19 16:07:10,-36.8364849,174.7671163,13.99,15.65,47.55,17.56,37.01,60.73,14.09,-3.77,47.67,5.14,13.41,0.52,0.77,0.0,0.57,0.52,0.17,-0.35,4.69,-1.6,-5.01,-10.83,146.56,114.63,7.01,2.01,7.47,-3.11,0.84,2.78,4.69,7.0,0.0,25011905.0,50.48,30.95,119.15,104.11,285.3,116.7,61.07699721714613
AUS,2025-01-19 16:07:20,-36.8361958,174.7675459,13.51,14.53,51.87,19.04,43.86,64.8,14.59,-1.58,59.65,-2.04,12.87,-3.87,-3.66,0.0,-3.2,-2.87,-2.11,1.76,13.73,-0.1,0.25,174.1,54.42,253.44,5.25,2.02,7.49,0.32,5.0,8.0,-0.74,7.0,0.0,25011905.0,40.58,23.75,98.47,127.82,270.3,99.0,62.85400783916887
AUS,2025-01-19 16:07:30,-36.8359595,174.767888,13.81,15.76,34.75,18.08,40.49,63.41,14.39,0.08,38.42,3.54,12.56,-3.9,-3.47,0.0,-3.08,-2.63,-2.1,1.79,14.73,-0.74,-3.38,12.44,-40.18,-67.26,-1.64,2.02,7.49,-0.66,4.99,8.0,-0.74,7.0,0.0,25011905.0,30.58,14.85,115.12,146.1,258.88,117.4,64.68900941002605
AUS,2025-01-19 16:07:40,-36.8355043,174.7682689,27.76,28.62,24.06,40.29,37.56,61.39,23.91,-0.08,25.63,2.03,18.08,-3.89,-2.51,0.0,-0.83,0.94,2.81,6.7,17.64,-0.59,-10.85,239.87,685.34,533.79,-0.96,2.0,7.12,4.01,4.99,8.01,-0.74,7.0,0.0,25011905.0,20.48,7.3,64.67,188.41,226.31,59.8,61.525990315185936
AUS,2025-01-19 16:07:50,-36.8346973,174.7687191,41.91,42.64,11.81,52.28,39.62,64.98,26.03,-1.8,12.88,1.59,23.43,-22.73,-14.57,0.0,-5.72,4.07,13.9,36.65,25.54,0.5,-2.97,305.49,437.25,544.57,-0.04,2.0,4.38,5.7,4.99,6.06,-0.73,7.0,0.0,25011905.0,10.58,1.4,50.39,228.03,161.9,51.3,63.84104332467568
AUS,2025-01-19 16:08:00,-36.8332753,174.7685693,79.88,80.17,340.87,87.42,45.0,65.51,32.77,1.59,336.84,5.9,-5.6,-22.8,-17.63,0.0,-12.22,-6.57,-1.08,21.81,31.15,-1.73,0.23,1731.79,1852.26,1770.13,-1.5,1.86,0.89,0.45,4.99,0.03,-0.73,7.0,0.0,25011905.0,0.48,0.0,31.31,229.6,13.7,30.5,64.96799917337272
AUS,2025-01-19 16:08:10,-36.8315368,174.7676844,80.65,79.1,327.67,87.99,40.02,63.45,26.01,-1.54,328.41,-0.3,6.2,-22.6,-18.73,0.0,-14.4,-9.72,-4.52,18.02,25.66,-2.54,-1.8,999.3,934.63,927.45,1.81,1.88,0.83,1.53,4.99,-0.12,-0.62,7.0,1.0,25011905.0,-9.42,0.0,23.23,266.38,2.71,22.9,65.44803357745295
AUS,2025-01-19 16:08:20,-36.8300021,174.7660653,88.93,87.72,315.12,103.6,35.43,59.81,24.75,-0.87,314.2,1.45,-24.96,-18.1,-11.13,0.0,-3.61,4.53,12.98,31.13,21.84,-2.79,-1.77,997.67,1079.16,938.95,0.08,1.86,0.38,2.1,4.99,-0.07,-0.62,7.0,1.0,25011905.0,-19.52,0.0,18.08,240.23,2.71,17.6,60.584950591780114
AUS,2025-01-19 16:08:30,-36.8294096,174.7635255,88.35,86.43,270.18,149.84,37.04,59.0,18.32,0.57,270.13,0.35,-80.49,-18.13,-15.69,0.0,-13.36,-10.65,-8.39,9.77,18.57,-2.61,-0.94,1196.65,1192.84,1151.13,0.43,1.87,0.49,2.1,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-29.42,0.0,36.28,214.98,2.71,13.9,59.2559995985118
AUS,2025-01-19 16:08:40,-36.8293081,174.7609642,81.6,80.05,273.96,155.12,37.06,63.33,18.95,-0.03,273.47,0.64,-76.09,-19.61,-17.82,0.0,-15.33,-12.72,-10.02,9.59,19.0,-2.19,-1.72,1104.37,1134.87,1115.79,0.67,1.87,0.86,1.79,4.99,-0.12,-0.62,7.0,2.0,25011905.0,-39.42,0.0,23.5,183.75,2.71,4.2,61.1099797330656
AUS,2025-01-19 16:08:50,-36.8295052,174.7587682,59.47,57.99,215.4,-170.78,37.94,67.41,-18.98,-2.59,215.33,-1.49,-57.73,20.2,13.03,0.0,4.68,-4.22,-12.91,-32.83,-15.07,-0.52,3.5,1215.56,1135.05,1296.98,1.23,1.87,2.47,0.55,0.49,-0.12,2.39,7.0,2.0,25011905.0,-49.52,0.0,47.88,139.0,2.71,21.6,65.71780054483193
AUS,2025-01-19 16:09:00,-36.8308661,174.7579332,71.79,70.51,215.73,-151.05,37.38,60.81,-25.28,0.2,214.38,-0.31,-63.48,20.18,18.8,0.0,17.35,15.43,13.73,-6.43,-17.88,-2.67,2.69,884.79,786.76,762.49,-0.83,1.86,1.42,5.0,2.39,-0.13,2.37,7.0,2.0,25011905.0,-59.52,0.0,31.84,263.94,2.71,13.5,61.79264838191706
