BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
BRA,2025-01-19 16:06:00,-36.8332898,174.758963,7.39,10.31,95.64,-33.9,34.64,58.19,-28.02,1.99,107.79,1.0,5.93,16.14,5.4,0.0,-3.84,-13.15,-22.56,-38.71,-17.12,-2.22,1.3,12.93,-15.19,-84.3,-7.62,1.29,7.22,7.01,4.38,2.12,-4.07,7.0,0.0,25011905.0,120.6,59.4,452.77,323.54,-352.94,416.5,58.19
BRA,2025-01-19 16:06:10,-36.8334072,174.7594009,15.23,17.8,107.64,-46.14,34.54,57.43,-33.89,1.88,110.96,-4.63,10.8,18.68,8.54,0.0,-0.63,-9.98,-19.21,-37.9,-22.71,-0.4,1.07,129.74,-49.34,318.48,0.73,2.57,7.53,7.01,3.2,2.12,-0.85,7.0,0.0,25011905.0,110.7,53.85,224.94,309.59,-323.45,222.7,57.50999828834209
BRA,2025-01-19 16:06:20,-36.8336548,174.7600833,27.5,29.58,112.56,-50.31,36.09,61.08,-29.42,0.33,113.62,-1.79,16.98,18.72,10.08,0.0,2.13,-5.88,-14.06,-32.78,-27.76,0.46,3.75,89.27,-56.73,189.49,1.71,2.57,7.53,7.01,0.34,2.13,1.49,7.0,0.0,25011905.0,100.6,25.35,114.76,290.53,-282.43,115.2,59.74203752878842
BRA,2025-01-19 16:06:30,-36.8339396,174.7609194,24.22,26.31,111.72,-52.87,38.12,59.97,-33.74,0.84,113.78,-2.92,14.73,18.72,11.56,0.0,4.83,-1.8,-8.56,-27.27,-30.61,1.18,2.19,145.27,-63.26,293.63,1.67,2.57,7.53,7.01,0.27,2.13,2.55,7.0,0.0,25011905.0,90.7,-11.0,115.86,286.74,-226.56,115.3,60.672000904753794
BRA,2025-01-19 16:06:40,-36.8341182,174.7616573,16.46,18.8,96.77,-46.36,33.33,54.57,-31.54,1.03,98.3,-0.25,13.26,18.7,11.58,0.0,4.88,-1.84,-8.72,-27.43,-24.91,0.43,-0.39,85.32,80.88,453.97,-1.5,2.56,7.49,7.01,1.03,2.12,2.52,7.0,0.0,25011905.0,80.6,16.5,162.43,304.02,-171.19,166.2,57.588100848831154
BRA,2025-01-19 16:06:50,-36.8343047,174.7623042,28.77,31.37,108.46,-46.53,32.91,59.72,-25.76,-0.39,109.63,-1.71,17.25,18.77,9.73,0.0,1.78,-6.51,-14.42,-33.19,-17.7,-0.13,7.11,614.57,222.69,422.85,1.65,2.54,7.52,7.0,5.58,2.12,4.48,7.0,0.0,25011905.0,70.6,-100.0,94.56,329.23,-120.78,95.8,57.43211040559362
BRA,2025-01-19 16:07:00,-36.8347085,174.7632612,37.25,39.53,118.58,-55.55,37.23,62.89,-29.4,-2.68,119.98,-3.0,19.12,18.7,8.37,0.0,-0.76,-9.92,-19.25,-37.94,-24.9,1.95,8.74,1208.81,769.41,1324.44,4.55,4.3,4.81,7.0,3.34,2.12,5.57,7.0,0.0,25011905.0,60.7,-100.0,49.16,357.32,-46.77,49.1,61.42800713747621
BRA,2025-01-19 16:07:10,-36.8350677,174.7645141,45.12,47.7,107.93,-45.42,35.57,59.63,-21.1,0.23,110.02,-2.2,32.4,19.7,12.97,0.0,6.82,0.31,-6.49,-26.08,-20.45,-0.73,3.5,906.62,739.57,987.98,0.56,3.64,6.11,7.0,2.4,2.12,2.33,7.0,0.0,25011905.0,50.6,-100.0,45.47,306.69,40.23,44.1,60.61496730054634
BRA,2025-01-19 16:07:20,-36.8355223,174.765917,46.63,48.94,114.12,-46.24,35.85,62.93,-20.29,0.38,115.01,-0.88,32.56,19.74,14.93,0.0,10.71,6.07,1.84,-17.92,-25.37,-0.76,5.13,938.77,634.26,923.07,-0.43,2.37,4.46,3.76,2.88,2.13,0.36,7.0,0.0,25011905.0,40.7,27.0,29.93,231.38,135.51,30.2,61.113970851982714
BRA,2025-01-19 16:07:30,-36.8355886,174.7669507,16.38,16.84,49.46,8.47,38.16,62.77,5.47,-6.82,52.49,0.84,16.25,-20.14,-14.88,0.0,-10.57,-6.11,-1.78,18.36,12.94,0.77,-2.05,-12.08,-7.95,63.76,13.56,2.39,7.5,7.65,2.42,3.16,0.38,7.0,0.0,25011905.0,30.6,16.7,88.8,204.36,186.77,91.6,63.373001186014775
