BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
CAN,2025-01-19 16:06:00,-36.8374909,174.7607861,1.26,1.1,68.49,-1.47,34.69,57.65,-1.39,2.83,119.56,1.0,1.26,-18.59,-18.54,0.0,-18.56,-18.49,-18.37,0.23,9.59,0.39,1.11,23.82,-29.21,144.02,-26.63,1.31,-0.0,-0.39,1.31,-0.98,3.65,7.0,0.0,25011905.0,120.42,-100.0,0.0,0.0,141.57,0.0,57.65
CAN,2025-01-19 16:06:10,-36.8375396,174.7608539,4.54,4.79,84.8,-17.83,35.58,61.76,-15.74,1.77,114.38,1.0,4.22,-20.26,-20.59,0.0,-20.63,-20.63,-20.46,-0.2,3.04,0.13,1.81,-11.8,-98.17,-3.01,3.82,1.31,-0.0,-0.42,1.35,-0.99,3.66,7.0,0.0,25011905.0,110.42,-100.0,0.0,0.0,149.63,0.0,60.122003699385004
CAN,2025-01-19 16:06:20,-36.8375195,174.7611255,9.26,9.6,68.28,-17.31,34.45,57.27,-13.85,1.2,71.26,-3.48,8.96,-7.52,-7.34,0.0,-7.31,-7.24,-7.48,0.03,-0.67,-0.49,1.22,-46.49,-11.89,216.14,-0.31,1.31,-0.0,-1.97,1.32,-0.99,3.68,7.0,0.0,25011905.0,100.42,-100.0,0.0,0.0,149.17,0.0,60.53918385905854
CAN,2025-01-19 16:06:30,-36.8374602,174.7613588,6.93,7.4,74.86,-20.23,32.21,54.24,-16.52,2.25,83.96,1.0,6.42,-12.71,-12.35,0.0,-12.23,-12.36,-12.61,0.1,1.33,0.28,2.13,-5.91,-73.13,232.74,-9.22,1.31,-0.0,-2.18,1.35,-0.99,3.68,7.0,0.0,25011905.0,90.52,-100.0,440.94,18.45,145.46,443.6,54.987964806620106
CAN,2025-01-19 16:06:40,-36.8374259,174.7616359,9.26,9.64,77.12,-20.72,30.96,54.7,-16.5,-0.6,81.97,-4.81,8.71,-12.71,-12.42,0.0,-12.16,-12.49,-12.64,0.07,0.76,-0.42,1.72,-21.93,-27.23,-29.92,5.03,1.31,-0.0,-2.19,1.32,-1.0,3.68,7.0,0.0,25011905.0,80.42,-100.0,318.37,38.8,160.77,315.1,54.57499994717921
CAN,2025-01-19 16:06:50,-36.8373849,174.7618845,6.63,6.8,73.09,-17.73,28.42,54.3,-14.23,0.06,75.23,1.0,6.38,-12.74,-12.4,0.0,-12.36,-12.44,-12.63,0.11,1.86,-0.28,0.02,-25.61,-9.88,65.99,0.78,1.31,-0.0,-2.18,1.32,-0.99,3.68,7.0,0.0,25011905.0,70.42,-100.0,436.18,58.55,176.7,430.9,54.381999874072136
CAN,2025-01-19 16:07:00,-36.8373438,174.7620043,2.57,2.79,55.4,-2.51,27.2,55.48,-2.21,-1.87,42.89,1.0,2.57,21.83,21.73,0.0,21.69,21.52,21.52,-0.3,-12.19,0.48,-0.53,-34.53,10.08,152.09,5.57,1.31,-0.0,-2.59,1.33,-0.98,3.67,7.0,0.0,25011905.0,60.52,-100.0,1381.3,70.26,173.99,999.0,55.185003312717406
CAN,2025-01-19 16:07:10,-36.8372812,174.7620295,3.07,2.96,31.99,9.48,31.71,47.97,8.74,-1.64,4.59,1.0,2.93,21.81,21.65,0.0,21.73,21.83,21.58,-0.24,-6.98,0.18,-1.47,-68.15,26.27,119.1,3.91,1.31,0.01,-2.58,1.33,-0.98,3.67,7.0,0.0,25011905.0,50.42,-100.0,1334.67,74.34,170.37,999.0,51.46596685829131
CAN,2025-01-19 16:07:20,-36.8370764,174.7621335,15.73,16.4,51.39,37.82,34.0,54.15,28.13,5.71,48.77,6.42,12.08,-1.13,-0.86,0.0,-0.82,-0.86,-0.85,0.28,8.98,-1.09,-3.81,-114.68,145.62,69.72,-9.94,1.31,0.0,1.02,1.37,-0.93,3.65,7.0,0.0,25011905.0,40.42,-100.0,231.24,99.58,149.68,223.7,49.281370662792064
CAN,2025-01-19 16:07:30,-36.8368709,174.7625131,11.58,12.09,63.98,21.06,35.59,72.0,16.89,0.98,64.53,3.38,11.15,-1.11,-0.86,0.0,-0.94,-0.81,-0.9,0.21,8.3,-0.07,-0.4,-24.08,15.93,200.24,-3.93,1.31,0.01,1.01,1.36,-0.94,3.66,7.0,0.0,25011905.0,30.52,-100.0,253.87,138.1,146.62,254.6,65.21265731459839
CAN,2025-01-19 16:07:40,-36.8367328,174.7627826,10.06,11.15,53.13,16.36,35.06,72.49,14.44,-0.6,52.75,6.04,9.63,-1.14,-0.88,0.0,-0.8,-1.0,-0.99,0.15,8.58,-0.41,-1.44,-64.03,39.13,186.62,-2.24,1.31,0.01,1.14,1.32,-0.94,3.65,7.0,0.0,25011905.0,20.42,-100.0,316.58,157.43,145.59,315.3,73.18099989195622
CAN,2025-01-19 16:07:50,-36.8365857,174.7630514,8.84,9.85,54.93,18.1,35.53,72.04,14.71,0.36,56.76,1.0,8.39,-1.16,-0.84,0.0,-0.83,-0.85,-0.77,0.39,8.69,0.0,-2.56,-90.92,-31.97,81.36,0.2,1.31,0.0,1.14,1.32,-0.94,3.65,7.0,0.0,25011905.0,10.42,-100.0,314.84,168.58,144.49,307.1,72.10499998403805
CAN,2025-01-19 16:08:00,-36.836464,174.7633214,7.71,8.96,52.81,16.65,39.79,72.39,14.13,-0.56,60.9,1.0,7.47,-1.14,-0.9,0.0,-0.92,-0.89,-0.9,0.24,8.54,-0.97,-0.85,10.68,-8.02,243.37,-1.53,1.31,0.0,1.18,1.32,-0.95,3.66,7.0,0.0,25011905.0,0.42,-100.0,332.32,176.47,138.48,326.4,72.64900022074887
CAN,2025-01-19 16:08:10,-36.8363557,174.7635557,6.32,7.39,59.84,10.72,37.94,71.18,9.34,-0.09,70.41,1.0,6.27,-1.13,-0.79,0.0,-0.98,-1.04,-0.94,0.19,3.93,-0.02,0.35,86.19,-22.46,117.25,0.75,1.31,0.0,1.16,1.36,-0.95,3.67,7.0,0.0,25011905.0,-9.48,-100.0,342.02,184.65,138.3,340.4,71.59699918927618
CAN,2025-01-19 16:08:20,-36.8363167,174.7637137,2.3,3.28,57.6,9.06,34.54,68.63,8.56,-0.66,80.83,1.0,2.26,-1.14,-0.82,0.0,-0.89,-0.91,-0.77,0.36,3.96,1.52,-0.02,-29.02,-42.95,99.31,-1.83,1.31,0.0,1.15,1.32,-0.95,3.67,7.0,0.0,25011905.0,-19.58,-100.0,0.0,0.0,138.3,0.0,69.74599687524193
CAN,2025-01-19 16:08:30,-36.8363245,174.7637874,1.46,0.4,72.87,4.11,34.84,69.9,3.98,2.86,154.91,1.0,1.49,-21.75,-21.55,0.0,-21.55,-21.59,-21.56,0.18,15.51,0.69,0.92,-77.43,-76.03,245.67,-1.56,1.31,0.0,1.17,1.34,-0.96,3.67,7.0,0.0,25011905.0,-29.58,-100.0,0.0,0.0,138.3,0.0,68.55098743584139
CAN,2025-01-19 16:08:40,-36.8363906,174.7638437,3.28,5.2,94.27,-13.09,36.75,76.31,-11.94,1.05,126.78,1.0,3.09,-11.23,-11.03,0.0,-10.72,-10.85,-10.96,0.26,-2.61,0.49,1.43,-82.56,-55.86,174.81,18.48,1.31,-0.01,1.17,1.37,-0.96,3.67,7.0,0.0,25011905.0,-39.48,-100.0,0.0,0.0,138.3,0.0,73.81009323360115
CAN,2025-01-19 16:08:50,-36.8364496,174.7640436,4.4,6.29,81.57,-16.01,40.05,73.8,-14.35,-1.41,98.18,1.0,4.26,-21.4,-21.55,0.0,-21.57,-21.59,-21.55,-0.15,5.53,-0.95,0.57,-19.07,-73.53,59.17,13.15,1.31,-0.0,1.16,1.37,-0.96,3.67,7.0,0.0,25011905.0,-49.58,-100.0,0.0,0.0,138.3,0.0,75.92304861702897
CAN,2025-01-19 16:09:00,-36.836491,174.7641978,1.3,2.94,82.27,-12.46,41.39,69.79,-12.05,0.19,129.74,1.0,1.27,-21.41,-21.47,0.0,-21.5,-21.6,-21.67,-0.24,15.34,-0.28,1.09,12.16,-112.8,229.88,20.29,1.31,-0.0,1.17,1.37,-0.96,3.67,7.0,0.0,25011905.0,-59.58,-100.0,0.0,0.0,138.3,0.0,70.94295489742088
CAN,2025-01-19 16:09:10,-36.8365713,174.764325,5.01,6.69,90.15,-19.02,43.35,70.43,-16.98,-1.04,119.05,1.0,4.68,-21.43,-21.42,0.0,-21.52,-21.64,-21.71,-0.27,8.73,-0.28,2.04,-15.52,-139.35,-23.15,25.4,1.31,-0.0,1.11,1.36,-0.97,3.67,7.0,0.0,25011905.0,-69.48,-100.0,0.0,0.0,138.3,0.0,70.04699968063599
CAN,2025-01-19 16:09:20,-36.836629,174.7645075,2.41,3.75,77.71,-16.61,44.05,64.65,-15.71,0.57,121.29,1.0,2.34,-21.44,-21.45,0.0,-21.51,-21.51,-21.43,-0.0,12.28,0.91,0.63,17.18,-25.75,93.0,4.34,1.31,-0.01,1.12,1.32,-0.97,3.67,7.0,0.0,25011905.0,-79.58,-100.0,0.0,0.0,138.3,0.0,67.45199130620685
