BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
DEN,2025-01-19 15:56:12,-36.8319194,174.7541499,11.55,12.91,46.62,23.52,40.68,72.47,18.35,-1.83,52.97,0.99,10.87,-1.45,-0.64,0.0,0.12,0.94,1.72,3.18,10.97,0.13,-0.28,-90.99,-43.98,99.59,1.64,2.21,-7.53,1.87,-2.34,8.76,7.97,7.0,0.0,25011905.0,-999.0,-17.6,252.54,186.19,264.56,0.0,72.47
DEN,2025-01-19 16:06:00,-36.8336919,174.761661,11.96,14.64,79.74,-27.17,37.75,58.83,-22.21,-1.53,87.8,-5.66,10.55,-1.11,-0.74,0.0,-0.63,-0.42,-0.14,0.96,-15.37,-0.96,1.12,-6.73,-13.4,93.15,4.82,2.9,7.49,-0.01,3.03,-2.88,3.9,7.0,0.0,25011905.0,120.71,66.95,225.54,340.89,-207.18,220.3,58.82999999999999
DEN,2025-01-19 16:06:10,-36.8337812,174.7621239,22.8,25.73,127.49,-60.59,37.29,61.97,-38.44,8.9,127.43,-0.25,10.61,-17.29,-8.99,0.0,0.14,10.29,16.11,33.4,-30.19,-5.73,8.63,209.26,-220.85,-305.34,-15.04,1.5,6.34,1.04,7.76,-2.9,3.9,7.0,0.0,25011905.0,110.61,19.15,107.14,363.0,-183.04,99.9,59.23590167314831
DEN,2025-01-19 16:06:20,-36.8344379,174.7622676,28.21,28.17,197.44,-132.34,41.12,66.08,-89.03,2.4,191.66,1.6,-20.45,17.18,14.72,0.0,11.1,6.55,2.07,-14.94,-26.81,0.84,0.06,0.88,-16.32,326.12,-3.1,-0.14,2.38,-0.01,1.18,-2.86,3.88,7.0,0.0,25011905.0,100.61,-100.0,48.76,316.28,-118.1,48.8,65.26307599603732
DEN,2025-01-19 16:06:30,-36.835046,174.7621404,21.62,22.19,187.83,-146.59,37.11,57.85,-114.61,-1.55,181.33,0.41,-18.33,17.19,13.25,0.0,8.83,3.93,-0.93,-18.19,-24.14,1.14,1.11,-155.92,5.65,246.95,1.14,-0.1,3.07,-0.01,1.18,-2.85,3.89,7.0,0.0,25011905.0,90.71,-100.0,58.34,261.06,-68.29,59.2,62.715406815140064
DEN,2025-01-19 16:06:40,-36.8356576,174.762269,26.9,28.15,158.53,-128.58,37.19,45.1,-83.07,-9.07,155.01,-2.1,-16.03,17.2,13.66,0.0,9.65,5.55,1.0,-16.2,-18.8,0.91,1.81,106.71,-0.33,301.23,9.05,-0.12,2.75,-0.01,0.28,-2.84,3.93,7.0,0.0,25011905.0,80.61,-100.0,36.98,220.41,4.8,36.5,50.276334538699025
DEN,2025-01-19 16:06:50,-36.8361086,174.763136,37.77,40.23,106.8,-62.6,42.36,43.17,-33.87,-0.84,107.85,-1.18,18.58,17.17,11.13,0.0,4.52,-2.83,-10.35,-27.52,-25.34,-0.9,7.04,712.78,300.67,648.44,0.26,1.61,4.05,0.18,-0.33,-2.85,3.98,7.0,0.0,25011905.0,70.71,-100.0,40.78,219.41,90.98,39.9,43.136992826721844
DEN,2025-01-19 16:07:00,-36.836455,174.7643767,39.65,41.29,114.31,-44.03,39.14,50.5,-21.59,2.67,114.59,0.3,30.95,17.23,13.97,0.0,10.37,6.62,2.5,-14.71,-17.17,-0.13,2.47,684.09,572.2,733.52,-3.77,2.77,5.93,0.99,4.76,-2.85,3.94,7.0,0.0,25011905.0,60.61,-100.0,24.7,159.57,170.67,24.7,45.83352581246213
DEN,2025-01-19 16:07:10,-36.836972,174.7655763,44.42,46.24,115.67,-47.14,35.93,62.24,-21.23,-0.42,116.3,-0.79,29.37,17.21,13.43,0.0,9.28,4.8,-0.03,-17.24,-16.14,-1.4,2.36,655.57,633.96,722.25,-1.23,3.0,5.64,0.99,4.05,-2.85,3.95,7.0,0.0,25011905.0,50.61,27.8,10.78,79.04,272.82,10.9,58.10978199951776
DEN,2025-01-19 16:07:20,-36.8370646,174.7666111,23.4,23.66,20.32,39.85,38.38,62.42,26.73,-4.51,17.4,5.4,19.05,-17.57,-13.52,0.0,-9.27,-4.75,0.03,17.61,20.7,-1.38,-11.99,86.29,689.95,470.06,6.84,2.75,7.45,7.75,0.6,3.31,3.93,7.0,0.0,25011905.0,40.61,18.1,142.25,48.46,319.97,150.4,63.009999992414514
DEN,2025-01-19 16:07:30,-36.8365797,174.7670383,17.11,17.47,43.55,24.67,41.31,65.97,17.55,-5.83,45.93,1.38,15.92,-17.3,-11.21,0.0,-4.5,2.85,10.34,27.58,14.92,0.47,-1.46,-171.94,-8.84,-10.25,8.4,2.7,7.49,3.84,3.01,3.36,-2.92,7.0,0.0,25011905.0,30.61,11.75,96.72,94.43,289.24,99.7,63.95996053847796
DEN,2025-01-19 16:07:40,-36.8361428,174.7673673,25.44,25.93,26.2,35.81,41.77,62.41,23.17,-0.22,28.55,1.94,19.52,-17.33,-12.36,0.0,-6.94,-1.59,4.21,21.65,12.49,-1.23,-5.55,-14.79,406.77,46.31,0.09,2.5,7.5,4.44,3.01,3.4,-2.92,7.0,0.0,25011905.0,20.71,4.8,89.69,134.0,257.97,87.4,63.961948359388686
DEN,2025-01-19 16:07:50,-36.8353623,174.7674926,50.12,50.33,341.48,77.1,41.36,63.32,34.2,-2.45,342.59,0.13,8.56,-17.3,-8.85,0.0,0.32,10.22,20.74,38.05,25.41,-4.28,-4.02,449.97,639.19,410.9,0.49,1.9,3.25,7.64,3.01,3.39,-2.92,7.0,0.0,25011905.0,10.61,0.7,67.81,216.78,187.76,67.3,62.80800006191711
DEN,2025-01-19 16:08:00,-36.8339929,174.7670894,61.09,60.78,354.33,77.01,40.72,66.07,29.19,-5.41,355.72,-0.85,17.45,-17.31,-11.67,0.0,-5.68,0.73,7.7,25.07,18.55,-3.12,-2.35,940.96,1149.83,840.06,2.72,2.04,2.36,3.33,3.01,1.25,-2.85,7.0,0.0,25011905.0,0.61,-1.15,41.01,369.17,34.09,40.7,63.662916359659
DEN,2025-01-19 16:08:10,-36.8323463,174.7663964,72.82,71.3,342.05,84.59,38.04,65.58,27.38,2.49,343.18,0.92,8.47,-17.25,-8.85,0.0,0.3,10.29,20.28,37.52,14.59,-1.12,-4.18,655.77,1119.89,692.66,-1.92,1.45,0.1,1.85,5.0,-0.23,-2.85,7.0,1.0,25011905.0,-9.29,-1.2,28.29,398.35,22.58,27.9,65.84299939557592
DEN,2025-01-19 16:08:20,-36.8306355,174.7658525,73.87,73.33,347.37,68.71,35.38,63.21,22.85,-1.69,345.71,2.49,33.61,-17.23,-8.85,0.0,0.35,10.31,20.5,37.72,17.96,-1.86,-5.15,981.32,1195.71,1098.48,-0.47,1.49,0.4,-0.32,5.0,-2.56,-2.85,7.0,1.0,25011905.0,-18.79,-1.2,17.57,322.21,22.58,18.0,65.00603138322512
DEN,2025-01-19 16:08:30,-36.829177,174.7648034,81.48,80.45,289.71,112.46,37.75,54.24,26.05,-9.77,288.48,-1.23,-30.47,-17.31,-9.23,0.0,-0.35,9.08,18.95,36.33,17.9,-3.14,-0.49,1088.54,1111.32,898.9,3.5,1.09,-0.97,4.15,5.0,-1.67,-2.83,7.0,2.0,25011905.0,-29.39,-1.2,19.51,170.49,22.58,19.6,59.33563676680474
DEN,2025-01-19 16:08:40,-36.8290852,174.7623072,77.88,75.82,274.43,150.11,38.38,54.39,25.29,2.46,273.89,1.26,-70.49,-22.32,-18.72,0.0,-14.46,-9.82,-4.63,17.7,17.13,-1.52,-2.21,1136.01,1160.13,1128.08,-0.53,1.55,-0.05,1.47,5.0,2.2,-2.83,7.0,2.0,25011905.0,-39.39,-1.2,27.56,197.81,22.58,9.2,52.752980342987016
DEN,2025-01-19 16:08:50,-36.8288389,174.7599949,75.48,74.52,284.57,142.89,38.65,62.51,27.26,-9.75,282.1,-0.11,-61.46,-22.54,-15.54,0.0,-7.57,1.0,10.06,32.6,12.29,-4.38,0.59,883.51,869.44,667.75,3.79,1.58,-0.33,3.63,2.45,2.2,1.15,7.0,2.0,25011905.0,-49.29,-1.2,9.83,107.91,22.58,0.3,58.500835832599485
DEN,2025-01-19 16:09:00,-36.8298593,174.7588946,68.15,68.21,205.79,-138.17,37.06,64.16,-31.77,3.9,205.16,-0.07,-50.93,22.83,20.69,0.0,18.72,16.4,14.07,-8.73,-26.02,-3.01,2.12,994.23,968.69,913.55,-3.43,1.28,0.43,2.99,2.65,-2.83,0.76,7.0,2.0,25011905.0,-59.4,-1.2,44.36,179.15,22.58,18.9,65.11097613396515
DEN,2025-01-19 16:09:10,-36.8313362,174.7576713,71.7,70.42,217.01,-152.87,41.5,65.38,-27.9,-0.74,214.47,0.43,-64.45,22.79,19.0,0.0,15.07,10.74,6.06,-16.74,-20.19,-2.46,3.67,888.06,718.26,706.36,-1.0,1.27,0.02,5.0,1.68,-2.83,0.79,7.0,2.0,25011905.0,-69.4,-1.2,29.19,301.81,22.58,10.5,65.38700172745592
DEN,2025-01-19 16:09:20,-36.8327994,174.7563819,74.82,74.08,219.99,-152.75,41.59,65.78,-26.74,0.99,218.81,-0.04,-66.88,22.8,20.03,0.0,16.83,13.49,9.86,-12.93,-18.16,-1.55,5.2,995.79,836.36,1009.05,-1.4,1.27,-0.32,5.0,0.72,-2.81,0.79,7.0,2.0,25011905.0,-79.4,-1.2,18.32,354.88,22.58,2.2,65.46599993623956
DEN,2025-01-19 16:09:30,-36.8342394,174.7550646,67.38,66.7,210.91,-153.02,44.59,65.9,-35.4,-1.09,208.52,0.67,-60.17,19.76,18.61,0.0,17.49,15.86,14.4,-5.31,-13.03,-2.15,-0.53,896.41,852.03,795.19,-1.65,1.47,0.86,5.0,1.94,-2.71,0.31,7.0,2.0,25011905.0,-89.29,-1.2,9.75,162.13,22.58,0.1,65.83599886533462
DEN,2025-01-19 16:09:40,-36.8353191,174.7556201,47.39,49.47,118.9,-66.39,42.81,59.82,-31.45,-2.14,118.59,-0.85,18.96,19.72,13.32,0.0,6.44,-1.25,-8.98,-28.7,-23.94,-3.03,-5.02,366.57,670.28,477.56,0.2,2.85,5.03,2.98,4.76,-2.71,-2.35,7.0,3.0,25011905.0,-99.4,-1.2,17.5,122.4,22.58,-27.8,62.66204032085134
DEN,2025-01-19 16:09:50,-36.8355117,174.7570969,37.15,37.22,37.96,0.83,42.17,55.78,-0.72,-27.14,34.34,-1.5,35.98,-18.4,-12.69,0.0,-5.2,2.46,10.1,28.33,7.71,0.82,-0.41,806.15,822.73,1024.89,15.23,2.79,5.84,2.88,-1.14,2.75,-2.19,7.0,3.0,25011905.0,-109.4,-1.2,113.85,87.64,22.58,49.0,57.10795327305883
DEN,2025-01-19 16:10:00,-36.8345893,174.7572493,44.88,45.42,13.45,50.11,42.02,56.16,25.81,1.47,13.72,2.99,28.44,-19.84,-11.36,0.0,-2.24,7.74,18.33,38.11,16.78,-1.45,-5.92,484.24,806.39,733.93,-1.74,3.24,6.11,4.08,1.0,3.0,-2.22,7.0,3.0,25011905.0,-119.4,-1.2,60.67,189.16,22.58,41.8,55.28399698104155
DEN,2025-01-19 16:10:10,-36.8333798,174.7576849,55.32,55.95,18.06,48.63,39.23,62.1,20.94,-2.03,18.6,1.37,38.58,-19.91,-11.58,0.0,-2.68,6.96,16.67,36.59,12.63,-2.9,-2.21,848.25,958.77,782.52,-0.19,3.22,5.16,3.71,0.99,-0.76,-2.22,7.0,3.0,25011905.0,-129.39,-1.2,43.31,317.88,22.58,32.9,59.41799610430724
DEN,2025-01-19 16:10:20,-36.8320263,174.7582349,58.83,59.28,14.09,45.12,42.83,62.54,19.49,-1.6,14.47,1.42,42.16,-19.75,-11.83,0.0,-3.24,6.33,15.96,35.71,14.49,-3.29,-3.5,859.37,898.39,711.43,0.26,2.94,4.4,4.95,3.0,-4.92,-2.22,7.0,3.0,25011905.0,-139.39,-1.2,30.05,395.33,22.58,23.4,62.51399989428901
DEN,2025-01-19 16:10:30,-36.8305942,174.758807,58.68,59.14,18.53,39.41,38.94,61.64,17.0,-0.57,17.81,2.65,48.02,-19.81,-13.44,0.0,-6.62,0.62,8.04,27.9,10.9,-2.82,-1.6,858.42,994.38,835.65,0.48,3.06,4.49,3.25,3.0,-4.85,-2.22,7.0,3.0,25011905.0,-149.29,-1.2,20.25,259.04,22.58,13.3,61.958999845044424
DEN,2025-01-19 16:10:40,-36.8292019,174.7593165,54.01,54.14,29.78,40.38,39.97,60.87,19.95,12.82,29.97,5.0,40.61,-17.73,-10.48,0.0,-2.43,6.13,15.02,32.75,14.76,-1.55,-4.44,1042.4,1252.67,1154.95,-6.7,2.89,1.15,1.04,0.86,-4.74,3.73,7.0,3.0,25011905.0,-159.39,-1.2,11.65,126.09,22.58,3.4,60.44899756430721
DEN,2025-01-19 16:10:50,-36.8297089,174.760377,64.69,65.54,152.25,-90.58,41.09,64.73,-34.73,-6.19,151.59,-2.54,0.18,17.7,9.53,0.0,0.39,-9.63,-19.81,-37.51,-29.82,-1.38,7.37,752.93,489.6,615.14,2.04,2.38,2.87,2.99,0.19,-1.91,2.98,7.0,3.0,25011905.0,-169.39,-1.2,43.84,204.13,22.58,31.5,63.1280060691616
DEN,2025-01-19 16:11:00,-36.8303932,174.7617377,49.67,51.77,106.09,-53.43,42.09,58.95,-24.74,0.11,106.82,-1.02,33.15,17.83,10.68,0.0,2.97,-5.68,-14.33,-32.17,-15.26,-3.8,3.37,549.44,458.49,314.11,-1.39,2.99,5.08,2.98,6.42,-0.92,-3.37,7.0,3.0,25011905.0,-179.39,-1.2,60.23,318.78,22.58,23.1,62.19108856193278
DEN,2025-01-19 16:11:10,-36.8307235,174.7633674,56.89,59.2,106.75,-45.73,42.55,57.22,-19.99,-1.16,107.02,-0.96,40.54,17.84,11.28,0.0,3.93,-4.03,-12.14,-29.97,-17.48,-2.59,2.27,1092.86,969.55,996.28,-1.04,3.22,4.96,2.98,3.85,-0.93,-3.35,7.0,3.0,25011905.0,-189.29,-1.2,44.6,360.81,22.58,14.8,56.84798549039996
DEN,2025-01-19 16:11:20,-36.8311484,174.7652168,58.76,60.56,106.76,-46.0,39.28,59.95,-18.32,-2.27,105.45,-0.04,39.48,17.84,11.37,0.0,4.07,-4.22,-12.35,-30.14,-14.88,-3.2,3.73,810.8,668.67,602.52,-1.34,3.17,4.68,2.98,4.35,-0.93,-4.89,7.0,3.0,25011905.0,-199.39,-1.2,32.28,380.27,22.58,5.2,58.68700145414567
DEN,2025-01-19 16:11:30,-36.8315306,174.7669511,45.21,45.8,85.03,-33.59,39.16,57.01,-17.46,-25.41,83.56,-4.37,35.55,17.7,12.46,0.0,6.2,-0.41,-7.43,-25.13,-12.34,-0.67,-2.7,953.8,1033.1,1012.57,12.62,3.1,-1.73,4.79,0.07,3.63,-4.82,7.0,3.0,25011905.0,-209.39,-1.2,25.68,331.18,22.58,0.1,58.73802160679833
