BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
ESP,2025-01-19 15:56:12,-36.8363614,174.7653082,42.14,43.35,120.51,-63.33,34.04,57.74,-28.68,-0.08,121.76,-1.44,18.17,16.8,9.3,0.0,2.42,-4.79,-11.87,-28.68,-16.11,-0.63,0.65,568.59,603.22,694.98,-0.57,2.41,5.4,5.0,3.89,-0.72,0.69,7.0,0.0,25011905.0,50.31,23.8,18.88,155.79,191.05,19.5,57.739999999999995
ESP,2025-01-19 16:06:01,-36.8342069,174.763456,22.0,23.09,139.65,-81.39,34.29,54.25,-50.75,11.39,131.81,1.95,1.59,-18.37,-18.23,0.0,-18.3,-18.46,-18.29,0.08,-22.08,-2.34,2.88,21.47,-131.72,-57.02,-15.44,0.77,4.91,5.0,7.76,0.75,-0.01,7.0,0.0,25011905.0,120.27,-39.4,85.4,410.56,-92.56,97.6,54.25
ESP,2025-01-19 16:06:10,-36.8347986,174.7635304,25.75,26.94,169.92,-142.39,36.11,54.81,-97.08,-12.5,169.28,-0.88,-20.79,18.35,18.4,0.0,18.11,17.86,17.92,-0.43,-39.78,2.53,1.82,36.66,4.03,354.03,13.04,0.55,4.31,5.0,2.65,0.75,-0.01,7.0,0.0,25011905.0,111.37,-100.0,47.51,359.01,-32.57,47.4,55.67500653460058
ESP,2025-01-19 16:06:20,-36.8351564,174.7642023,23.74,25.39,106.8,-59.95,35.35,49.23,-37.22,0.62,109.35,-3.34,14.5,18.33,13.51,0.0,9.01,4.32,-0.17,-18.5,-37.54,-0.02,1.09,103.76,107.16,272.75,0.0,0.55,4.57,5.0,1.85,0.75,0.02,7.0,0.0,25011905.0,101.27,-100.0,83.75,303.92,26.71,84.2,52.05509830396787
ESP,2025-01-19 16:06:30,-36.8354275,174.765082,31.8,34.78,107.43,-62.66,38.15,49.01,-35.13,-0.45,108.11,-0.46,15.15,18.4,17.68,0.0,16.9,16.03,15.7,-2.72,-39.58,0.42,2.17,85.1,-37.66,113.75,0.56,0.57,3.17,5.0,1.06,0.75,0.02,7.0,0.0,25011905.0,91.37,-100.0,53.91,261.09,81.46,53.0,49.29100003549962
ESP,2025-01-19 16:06:40,-36.835679,174.7659925,22.2,24.48,114.45,-51.31,36.79,50.54,-32.88,1.75,114.36,-0.93,15.96,18.38,18.29,0.0,18.31,18.35,18.33,-0.03,-40.19,0.18,1.22,-35.26,-45.06,191.15,-1.75,0.56,4.59,5.0,0.66,0.75,0.01,7.0,0.0,25011905.0,81.27,56.8,54.03,214.71,149.49,54.6,48.74797142334607
ESP,2025-01-19 16:06:50,-36.8360027,174.7666562,26.16,27.67,123.51,-56.92,35.31,60.52,-33.22,2.65,122.67,-0.86,12.72,18.37,16.75,0.0,15.4,13.87,12.59,-5.79,-40.17,-0.57,3.68,159.03,-29.2,207.12,-3.34,0.55,4.35,5.0,0.6,0.75,0.02,7.0,0.0,25011905.0,71.37,54.35,31.59,168.98,210.69,32.1,56.508313662259816
ESP,2025-01-19 16:07:00,-36.8364699,174.7674671,24.58,28.71,99.03,-52.74,34.66,62.44,-31.11,-8.54,103.63,-2.23,15.45,18.35,18.23,0.0,18.24,18.14,18.07,-0.29,-39.88,2.52,-1.01,176.3,145.03,621.93,9.19,0.55,3.79,5.0,0.48,0.75,0.02,7.0,0.0,25011905.0,61.27,43.1,31.78,101.49,290.52,25.4,62.396013081943615
ESP,2025-01-19 16:07:10,-36.8364075,174.767858,5.49,5.95,40.36,19.22,37.52,61.87,16.92,-1.89,47.09,1.0,5.07,6.44,6.31,0.0,6.25,6.15,6.26,-0.19,6.38,-1.19,-1.33,-64.14,3.87,133.2,14.47,0.55,5.85,2.79,1.93,-0.51,0.01,7.0,0.0,25011905.0,51.37,31.5,250.71,97.63,305.57,256.9,62.30599918311895
ESP,2025-01-19 16:07:20,-36.8362355,174.7680704,9.72,10.48,37.88,28.58,38.43,62.67,22.95,1.6,48.53,-0.95,8.21,-1.05,-1.21,0.0,-1.16,-1.02,-1.04,0.01,18.74,-0.07,-1.05,-19.31,-88.88,82.01,-3.99,0.55,5.52,4.34,5.0,2.25,0.0,7.0,0.0,25011905.0,41.37,23.05,136.01,111.25,294.26,139.7,61.823997611838024
