BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
GBR,2025-01-19 15:59:50,-36.8294523,174.7575441,57.03,54.66,266.71,156.22,37.06,59.35,31.79,-8.39,265.17,-0.7,-41.53,-23.39,-19.17,0.0,-13.92,-8.17,-2.4,20.99,14.45,-0.71,0.2,315.9,237.26,361.24,3.39,1.04,-0.7,3.19,1.68,-1.14,0.45,7.0,0.0,25011905.0,-61.41,-5.4,23.4,104.74,104.83,0.2,59.349999999999994
GBR,2025-01-19 16:06:00,-36.834131,174.7584258,27.17,29.77,112.6,-47.84,35.94,61.37,-28.44,1.24,112.95,-1.52,21.07,21.05,14.37,0.0,7.58,-0.3,-8.16,-29.21,-21.14,-1.79,6.88,488.77,166.78,250.14,-2.94,2.07,7.13,6.99,7.51,-0.82,2.32,7.0,0.0,25011905.0,120.73,-100.0,109.18,234.99,-290.97,110.4,61.37
GBR,2025-01-19 16:06:10,-36.8345153,174.7594039,41.0,43.87,119.05,-52.61,37.74,61.64,-26.3,1.6,120.3,-2.02,23.84,20.61,12.29,0.0,3.14,-6.88,-16.99,-37.6,-25.12,0.13,6.84,739.97,413.72,709.05,-0.34,2.26,5.0,6.99,3.98,-0.82,-0.85,7.0,0.0,25011905.0,110.73,-100.0,59.6,186.85,-213.71,57.6,61.28200011306373
GBR,2025-01-19 16:06:20,-36.8350334,174.7608125,50.51,52.4,110.76,-54.27,35.27,60.21,-22.24,1.24,111.51,-0.66,32.49,20.65,14.62,0.0,8.18,0.53,-7.18,-27.79,-19.0,-0.69,1.6,703.12,652.6,681.08,-1.6,2.62,4.33,6.99,3.43,-0.82,-0.87,7.0,0.0,25011905.0,100.73,-100.0,48.57,179.13,-117.01,47.3,61.54701235338213
GBR,2025-01-19 16:06:30,-36.8356278,174.7623423,59.79,61.97,120.19,-59.57,38.95,60.75,-22.8,-0.88,119.63,-0.02,26.94,20.63,12.88,0.0,4.35,-4.78,-14.28,-34.94,-21.9,-2.19,0.51,874.66,830.22,814.78,-0.3,2.76,4.03,6.99,3.16,-0.82,-0.85,7.0,0.0,25011905.0,90.73,-100.0,25.69,226.74,-3.64,25.6,60.194998781682415
GBR,2025-01-19 16:06:40,-36.8361932,174.7640748,54.38,55.27,109.75,-54.11,38.68,58.89,-22.77,0.17,111.22,-1.33,29.93,20.67,15.94,0.0,10.69,5.11,-0.47,-21.1,-23.3,-2.05,6.89,393.04,119.12,172.31,-0.25,2.25,3.31,6.99,1.83,-0.82,-0.82,7.0,0.0,25011905.0,80.83,-100.0,23.22,192.59,128.55,23.2,59.67099616101429
GBR,2025-01-19 16:06:50,-36.8365437,174.7652984,32.09,34.02,113.32,-45.11,36.89,60.58,-25.6,-0.92,115.15,-2.57,26.78,20.64,15.79,0.0,10.67,4.38,-2.23,-22.68,-25.0,0.01,9.28,575.31,207.4,443.87,0.78,1.98,6.07,6.99,2.89,-0.82,-0.81,7.0,0.0,25011905.0,70.83,999.0,23.99,131.14,999.0,24.7,58.79397096061426
GBR,2025-01-19 16:07:00,-36.836953,174.76628,34.16,35.81,119.55,-50.28,37.38,65.84,-26.76,-0.19,120.57,-1.29,23.83,20.64,16.28,0.0,11.53,6.12,0.5,-20.06,-23.72,-1.18,6.61,302.88,-5.4,147.09,-0.6,1.95,5.53,6.99,1.11,-0.82,-0.8,7.0,0.0,25011905.0,60.83,39.8,11.19,69.22,293.79,10.9,63.630027661313406
GBR,2025-01-19 16:07:10,-36.8370712,174.766964,9.12,9.62,46.55,7.0,37.79,65.83,5.84,-5.45,47.26,1.0,9.11,20.51,15.35,0.0,9.61,3.22,-3.45,-23.96,-6.33,0.03,-2.96,-63.16,13.14,131.21,16.11,1.94,4.78,-0.02,0.39,6.26,-0.84,7.0,0.0,25011905.0,50.73,28.05,188.65,42.74,338.39,201.3,66.02000002583156
GBR,2025-01-19 16:07:20,-36.8368429,174.7671898,13.33,13.69,34.89,24.9,42.84,59.79,20.27,4.45,38.11,5.27,12.13,-20.53,-12.32,0.0,-3.16,6.57,17.25,37.77,22.05,1.38,-0.89,-1.5,21.34,211.46,-11.42,1.71,7.55,-0.05,5.0,2.37,-0.84,7.0,0.0,25011905.0,40.73,19.35,152.64,62.21,320.31,149.0,61.98994372887371
