BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
GER,2025-01-19 16:06:01,-36.8331299,174.7593904,27.04,29.25,107.5,-55.0,34.35,56.98,-32.45,2.36,109.76,-3.73,10.78,16.03,11.07,0.0,5.92,0.26,-5.48,-21.51,-25.2,-0.15,7.04,458.76,101.82,611.21,-1.35,3.08,7.35,4.99,7.75,3.05,5.87,7.0,0.0,25011905.0,120.21,71.15,133.97,342.15,-356.2,132.4,56.98
GER,2025-01-19 16:06:10,-36.8336473,174.760154,47.73,48.9,142.86,-81.03,34.25,58.65,-34.51,-3.76,145.53,-3.6,2.98,16.0,9.99,0.0,3.6,-3.42,-10.64,-26.63,-33.32,-0.47,5.34,752.71,452.65,645.29,3.24,1.68,3.26,4.99,3.98,3.05,5.94,7.0,0.0,25011905.0,111.91,58.05,46.64,300.58,-292.45,50.5,57.02297872604627
GER,2025-01-19 16:06:20,-36.8340364,174.7612975,22.27,25.22,97.01,-47.51,39.6,53.42,-31.3,-0.92,98.97,-1.23,17.82,15.97,11.65,0.0,7.06,2.17,-2.95,-18.92,-31.13,1.59,-1.2,46.9,100.09,386.16,2.72,2.47,7.51,4.99,-2.3,3.05,5.93,7.0,0.0,25011905.0,101.21,53.6,127.7,291.3,-196.72,123.4,56.35507541623732
GER,2025-01-19 16:06:30,-36.8341126,174.7618765,13.85,16.63,88.68,-35.2,34.96,55.12,-26.38,0.36,93.53,-3.32,11.1,-16.19,-11.89,0.0,-7.27,-2.31,3.03,19.21,-4.96,2.52,1.2,11.09,-123.85,132.01,-0.69,2.46,7.5,4.99,0.1,3.05,5.93,7.0,0.0,25011905.0,91.11,28.3,178.12,315.77,-170.11,173.2,54.16300259486911
GER,2025-01-19 16:06:40,-36.8342529,174.7623984,21.18,23.89,106.74,-49.64,36.15,59.43,-33.48,-2.89,111.17,-4.46,12.72,-16.2,-16.06,0.0,-16.09,-16.13,-15.94,0.25,-8.09,1.02,3.03,-9.94,-36.48,144.81,6.49,2.46,7.5,4.99,3.11,3.05,5.94,7.0,0.0,25011905.0,81.11,-100.0,120.96,338.42,-131.55,120.0,57.215001396905436
GER,2025-01-19 16:06:50,-36.834659,174.763168,40.53,42.01,129.27,-68.22,37.79,60.37,-34.47,-0.2,131.31,-3.41,9.29,16.15,13.27,0.0,10.2,6.78,3.78,-12.34,-30.75,-1.47,3.75,470.75,384.42,368.51,1.12,2.46,5.83,4.99,6.63,3.05,5.94,7.0,0.0,25011905.0,71.21,-100.0,40.45,357.03,-58.35,42.3,59.14199199231065
GER,2025-01-19 16:07:00,-36.8352834,174.7645025,45.57,47.88,112.5,-55.1,37.05,58.37,-24.77,1.77,112.01,-0.35,27.75,16.13,15.96,0.0,15.92,15.84,15.83,-0.31,-32.23,-2.06,0.39,332.46,375.8,308.12,-1.62,2.28,4.26,4.99,3.99,3.05,1.87,7.0,0.0,25011905.0,61.21,-100.0,38.37,287.19,54.95,39.4,60.060033936717474
GER,2025-01-19 16:07:10,-36.8357518,174.7655272,35.6,37.17,130.21,-58.84,35.88,63.11,-30.66,1.7,130.21,-1.66,14.11,16.0,10.12,0.0,3.56,-3.46,-10.67,-26.69,-29.2,-1.22,9.03,635.01,272.56,441.44,0.47,2.26,6.22,4.99,5.35,3.05,1.99,7.0,0.0,25011905.0,51.11,31.25,26.65,216.74,143.34,27.2,59.89082045507053
GER,2025-01-19 16:07:20,-36.8360164,174.7663373,14.67,16.31,54.75,8.33,36.8,66.39,5.09,-8.32,64.11,-1.84,14.56,-16.18,-10.16,0.0,-3.78,3.22,10.64,26.84,15.1,1.15,1.09,43.8,36.46,339.55,15.49,2.25,-7.5,-2.81,-0.5,6.59,2.04,7.0,0.0,25011905.0,41.11,22.9,109.91,169.85,206.66,106.5,65.75903584304196
GER,2025-01-19 16:07:30,-36.835573,174.7665822,26.88,27.9,24.39,57.34,37.46,62.91,33.89,8.39,27.0,-0.08,13.8,-16.2,-11.15,0.0,-5.76,0.0,6.19,22.39,27.71,0.97,-2.75,-28.3,-3.57,157.33,-9.23,2.29,7.22,-3.49,5.01,5.42,2.03,7.0,0.0,25011905.0,31.21,17.05,97.98,207.71,171.82,100.0,63.89096841214875
GER,2025-01-19 16:07:40,-36.8352255,174.7669854,18.42,18.68,30.73,30.41,37.55,66.55,22.2,-5.33,32.7,5.61,15.54,-16.05,-13.48,0.0,-10.63,-7.34,-3.46,12.48,19.48,-1.19,-9.45,122.15,613.62,428.8,10.5,2.05,7.5,7.75,5.01,4.58,2.03,7.0,0.0,25011905.0,21.11,9.3,113.04,240.59,151.73,111.8,65.7881768487865
GER,2025-01-19 16:07:50,-36.834658,174.7674251,29.34,29.72,22.87,44.48,32.0,66.48,23.45,-6.01,28.28,-0.16,19.91,-16.04,-12.37,0.0,-8.31,-3.95,0.67,16.65,22.71,0.07,-9.36,141.56,529.04,430.5,4.43,1.61,5.98,7.74,5.0,1.3,2.03,7.0,0.0,25011905.0,11.11,3.05,67.4,292.23,112.99,63.6,65.62999914975768
GER,2025-01-19 16:08:00,-36.8337914,174.7676594,48.75,47.45,353.02,68.6,40.99,64.67,30.18,-4.36,357.17,-0.42,12.21,-15.98,-7.44,0.0,1.89,12.08,22.36,38.34,24.66,-2.23,-2.62,580.27,888.4,565.01,3.06,1.2,2.29,6.11,5.0,-1.95,2.03,7.0,0.0,25011905.0,1.21,-1.45,49.97,320.94,38.15,51.5,65.58399805341676
GER,2025-01-19 16:08:10,-36.8322699,174.7670714,69.4,68.82,332.58,84.59,37.91,61.79,27.43,-0.96,334.37,-0.06,3.6,-16.02,-9.07,0.0,-1.43,7.08,15.92,31.89,16.48,-2.95,-4.33,353.77,696.6,314.45,-0.6,1.28,0.37,2.55,5.0,-3.91,2.03,7.0,1.0,25011905.0,-8.89,-1.5,30.79,334.61,23.87,30.3,63.30201367565239
GER,2025-01-19 16:08:20,-36.8307496,174.7662423,69.75,68.71,335.59,84.73,35.73,60.56,26.95,2.54,335.0,1.43,6.66,-16.01,-8.86,0.0,-1.19,7.18,15.88,31.9,19.7,-0.39,-2.98,767.1,903.02,937.17,-0.57,1.03,-0.14,0.88,5.0,-3.82,2.03,7.0,1.0,25011905.0,-18.79,-1.5,20.71,326.67,23.87,21.5,61.46500396343149
GER,2025-01-19 16:08:30,-36.8292079,174.765161,78.38,76.41,307.52,103.82,36.03,58.44,26.0,-10.93,311.28,-0.46,-21.23,-16.07,-10.53,0.0,-4.42,1.88,9.02,24.98,24.7,-3.92,-5.11,509.45,664.59,333.46,4.13,1.27,-0.1,4.58,5.0,-3.89,2.03,7.0,1.0,25011905.0,-28.89,-1.5,15.58,173.74,23.87,14.8,59.83601279413357
GER,2025-01-19 16:08:40,-36.8287808,174.7627798,77.68,76.47,274.98,141.65,40.34,56.11,27.31,-2.32,276.52,-0.95,-65.26,-20.84,-20.54,0.0,-20.06,-19.45,-18.63,2.21,22.14,-3.17,-3.08,1103.16,1167.38,1017.07,2.43,1.44,0.1,3.27,1.41,-2.19,2.06,7.0,2.0,25011905.0,-38.89,-1.5,20.66,157.08,23.87,10.2,56.93199267455534
GER,2025-01-19 16:08:50,-36.8286005,174.7606936,62.08,60.85,277.25,143.6,38.81,58.44,36.26,-3.55,278.82,-0.58,-48.12,-20.76,-18.04,0.0,-14.76,-11.33,-7.71,13.06,21.4,-2.31,-1.01,1120.42,1128.6,1027.58,2.2,1.45,-1.55,2.11,1.66,0.96,2.35,7.0,2.0,25011905.0,-48.89,-1.5,13.92,105.52,23.87,2.6,56.857981288370866
GER,2025-01-19 16:09:00,-36.8292576,174.7595088,54.46,53.32,196.87,-139.83,35.72,56.86,-43.27,0.35,197.27,-2.55,-40.89,22.74,18.58,0.0,13.77,8.36,3.36,-19.46,-18.9,-2.22,1.21,965.47,936.79,940.32,-1.49,1.45,2.04,5.01,2.53,0.97,2.36,7.0,2.0,25011905.0,-58.79,-1.5,56.66,128.24,23.87,22.1,58.09801648752429
