BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
ITA,2025-01-19 16:06:01,-36.8329253,174.7607424,18.32,17.45,230.38,-163.9,40.6,64.43,-151.06,5.11,224.08,-0.71,-17.43,-21.07,-21.04,0.0,-21.05,-21.01,-20.98,0.1,-18.38,0.92,-0.94,122.88,5.42,12.76,-6.25,0.76,5.12,5.0,-2.0,-1.72,2.63,7.0,0.0,25011905.0,120.27,70.4,114.46,382.97,-320.31,102.4,64.43
ITA,2025-01-19 16:06:10,-36.8331438,174.7604265,13.88,12.01,235.18,106.38,35.39,63.76,105.35,-5.79,227.96,0.52,-13.85,-21.03,-21.16,0.0,-21.14,-21.2,-21.39,-0.36,-18.77,0.14,1.72,-91.25,-47.8,49.46,7.93,0.76,-5.66,5.0,-3.97,-1.71,2.64,7.0,0.0,25011905.0,111.27,48.3,169.84,350.58,-308.32,178.7,64.12700003212633
ITA,2025-01-19 16:06:20,-36.8335076,174.7604493,18.87,19.76,124.59,-78.53,35.87,58.09,-54.95,-10.47,127.43,-3.37,1.81,-1.32,-1.28,0.0,-1.25,-1.43,-1.51,-0.16,-21.13,-0.09,4.01,242.37,-19.07,250.5,14.42,1.87,6.88,5.0,0.21,-1.72,2.7,7.0,0.0,25011905.0,101.27,49.45,131.93,314.76,-285.73,128.9,60.282950233472334
ITA,2025-01-19 16:06:30,-36.8337879,174.7611612,32.03,33.15,129.71,-62.14,35.88,57.55,-33.57,1.52,128.81,-1.46,12.67,21.18,17.04,0.0,11.97,5.89,-0.16,-21.23,-36.46,-3.07,8.96,511.02,169.7,111.12,-2.02,2.18,6.7,5.0,6.74,-1.72,2.71,7.0,0.0,25011905.0,91.37,40.95,73.15,313.06,-240.35,76.0,56.38699994540873
ITA,2025-01-19 16:06:40,-36.8339957,174.7620137,15.82,18.97,92.25,-30.24,35.51,56.04,-20.85,3.12,92.55,0.57,15.26,21.15,16.23,0.0,10.22,2.77,-4.34,-25.4,-22.07,0.81,0.13,-0.9,-53.36,137.07,-5.51,2.22,6.77,5.0,-0.73,-1.69,2.72,7.0,0.0,25011905.0,81.37,23.05,157.81,332.81,-170.79,155.0,57.545007044558105
ITA,2025-01-19 16:06:50,-36.8341486,174.762671,25.43,27.4,106.82,-42.27,31.82,61.04,-24.61,0.69,109.18,-3.12,16.66,21.2,18.36,0.0,15.24,11.71,8.44,-12.83,-22.83,-0.54,4.92,337.22,136.28,383.46,-0.77,2.47,7.58,5.0,4.67,-1.69,2.74,7.0,0.0,25011905.0,71.37,-100.0,103.42,362.07,-126.8,103.8,59.14607497205324
ITA,2025-01-19 16:07:00,-36.8346677,174.7635895,49.44,49.34,129.93,-63.12,34.15,65.02,-26.26,-0.48,130.37,-1.63,18.69,21.19,14.85,0.0,7.41,-1.08,-9.86,-31.07,-26.06,-2.09,3.27,828.52,773.83,719.96,0.38,2.43,4.88,5.0,3.6,-1.7,2.8,7.0,0.0,25011905.0,61.37,-100.0,34.52,374.94,-47.87,35.5,63.432034367739384
ITA,2025-01-19 16:07:10,-36.8357447,174.7649982,56.66,58.55,138.73,-65.56,32.48,66.86,-22.81,0.57,136.37,1.14,26.73,21.18,17.79,0.0,13.58,9.01,4.1,-17.01,-21.83,-1.83,1.27,566.11,477.62,441.61,-1.51,2.15,3.07,5.0,1.48,-1.64,2.8,7.0,0.0,25011905.0,51.27,28.3,16.65,231.37,114.32,16.9,65.98100189249526
ITA,2025-01-19 16:07:20,-36.8365907,174.7662609,42.38,44.93,106.55,-44.91,35.01,68.0,-21.21,-9.1,109.91,-1.42,30.6,21.1,15.46,0.0,8.29,0.38,-7.82,-28.92,-20.71,-0.17,-0.56,520.32,513.72,599.46,4.35,2.53,5.15,-3.14,0.42,2.49,2.82,7.0,0.0,25011905.0,41.27,22.9,17.71,113.96,251.17,17.1,68.30300414826458
ITA,2025-01-19 16:07:30,-36.8362948,174.7668989,21.19,21.47,26.81,33.87,38.9,64.85,22.37,-0.71,29.87,2.12,17.58,-21.2,-15.1,0.0,-7.44,0.85,9.9,31.1,28.6,0.8,-3.07,-2.17,5.78,276.35,-1.05,2.53,7.48,-1.74,1.51,0.52,2.79,7.0,0.0,25011905.0,31.27,13.35,111.97,123.24,256.76,110.9,65.90398543755441
