BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
NZL,2025-01-19 16:06:00,-36.8330708,174.7579808,29.64,31.53,133.27,-90.85,42.02,41.61,-56.97,0.53,134.94,-4.35,3.83,3.27,2.69,0.0,2.25,2.25,2.38,-0.87,-26.49,0.63,6.35,312.99,112.08,452.31,0.17,1.13,2.58,5.0,4.33,1.35,-0.25,7.0,0.0,25011905.0,120.91,76.5,93.57,356.89,-417.33,92.6,41.61
NZL,2025-01-19 16:06:10,-36.8336772,174.7588769,37.12,39.08,136.81,-87.59,39.92,43.22,-45.74,3.27,135.67,-0.12,1.24,4.93,4.7,0.0,4.42,3.93,3.54,-1.4,-31.82,-1.3,0.17,335.15,337.7,387.9,-4.04,1.56,-1.65,5.0,6.82,1.62,-0.29,7.0,0.0,25011905.0,110.81,69.45,64.65,284.47,-320.49,63.9,42.47599981545385
NZL,2025-01-19 16:06:20,-36.8342359,174.7598094,30.72,32.9,125.84,-69.72,40.91,46.81,-41.11,0.65,125.4,-1.32,13.42,4.93,4.95,0.0,4.78,4.52,4.17,-0.75,-32.28,-0.84,2.32,69.83,-83.19,76.85,-1.32,1.54,5.63,5.0,2.38,1.61,-0.26,7.0,0.0,25011905.0,100.91,55.6,73.59,222.69,-237.74,73.2,44.8899656803209
NZL,2025-01-19 16:06:30,-36.834521,174.7605899,19.54,21.91,114.01,-46.84,40.79,50.02,-33.32,-4.02,116.26,-4.95,14.61,-17.4,-16.81,0.0,-16.18,-15.61,-14.96,2.43,-2.4,-0.14,4.43,103.02,-67.74,-86.69,5.38,1.58,6.78,5.0,0.16,1.61,-0.23,7.0,0.0,25011905.0,90.81,31.05,113.08,216.39,-181.76,111.5,48.44398496516069
NZL,2025-01-19 16:06:40,-36.8347982,174.7611008,23.52,25.47,134.52,-72.15,37.62,57.74,-47.08,-1.62,136.44,-5.07,5.5,16.86,17.13,0.0,16.5,15.88,14.89,-1.97,-31.77,-0.78,5.74,131.41,-16.36,41.78,0.54,1.55,6.62,4.99,2.93,1.61,-0.25,7.0,0.0,25011905.0,80.91,-100.0,70.32,218.8,-127.66,71.0,54.724151739094545
NZL,2025-01-19 16:06:50,-36.8352695,174.7619881,39.22,41.48,123.37,-69.62,38.66,55.15,-34.96,-1.73,122.12,-0.48,13.84,17.43,12.49,0.0,7.88,2.89,-1.59,-19.04,-31.1,-0.77,7.85,689.03,343.34,567.03,0.27,2.2,5.2,4.99,4.57,1.61,-0.99,7.0,0.0,25011905.0,70.81,-100.0,40.5,234.11,-40.47,40.8,56.084954729991445
NZL,2025-01-19 16:07:00,-36.8358763,174.7632927,51.92,53.96,118.66,-65.41,43.49,52.9,-29.06,2.31,118.58,0.46,23.74,15.36,12.6,0.0,10.22,7.95,5.22,-10.23,-34.29,-1.74,-0.41,504.52,435.35,464.01,-2.0,2.2,3.39,5.0,3.54,1.61,-1.85,7.0,0.0,25011905.0,60.91,-100.0,25.35,244.29,67.94,25.5,53.82199741642064
NZL,2025-01-19 16:07:10,-36.8363728,174.7642911,26.22,28.02,126.23,-52.87,39.36,60.15,-33.7,-2.0,129.34,-4.78,16.86,12.35,10.27,0.0,8.29,6.35,4.23,-8.11,-23.85,-0.08,4.28,125.59,-55.17,207.28,1.52,2.18,7.5,5.0,1.87,1.61,-1.86,7.0,0.0,25011905.0,50.81,-100.0,29.08,168.15,160.73,29.0,55.85568695011081
NZL,2025-01-19 16:07:20,-36.8365312,174.7649223,9.88,10.93,53.76,8.88,39.05,63.38,7.39,-5.22,57.85,2.25,9.67,-17.32,-14.47,0.0,-11.58,-8.61,-5.18,12.08,15.18,-0.91,-2.91,-80.5,-61.05,197.48,17.75,2.18,-2.5,-2.1,5.0,0.04,-1.88,7.0,0.0,25011905.0,40.91,6.45,207.71,139.48,203.25,214.8,62.57201504008837
NZL,2025-01-19 16:07:30,-36.8361262,174.7652229,31.96,31.83,15.8,55.51,33.58,65.38,29.51,-0.21,17.21,1.83,15.92,-35.16,-25.11,0.0,-16.17,-6.93,1.91,37.06,36.17,-0.62,-11.43,288.8,757.44,672.59,0.53,1.31,5.35,3.62,5.0,-0.82,1.72,7.0,0.0,25011905.0,30.81,6.15,108.27,174.67,174.81,107.9,63.891981554665165
NZL,2025-01-19 16:07:40,-36.8352175,174.7657678,44.89,45.28,29.09,36.56,38.16,68.13,17.96,3.52,29.45,3.0,38.51,-35.23,-26.05,0.0,-18.07,-10.17,-1.75,33.41,27.26,1.87,-3.08,685.96,810.0,1059.42,-3.21,2.1,4.28,-0.36,5.0,0.83,1.72,7.0,0.0,25011905.0,20.91,7.3,64.49,260.56,106.82,63.5,67.62102727074078
NZL,2025-01-19 16:07:50,-36.8344008,174.7665809,37.46,38.42,36.86,30.65,37.63,66.39,15.06,0.91,41.35,-0.62,32.12,-17.12,-16.26,0.0,-15.59,-14.82,-13.93,3.16,18.58,-1.3,-1.58,924.78,981.6,974.42,0.88,3.33,6.72,6.29,5.0,0.83,1.71,7.0,0.0,25011905.0,10.81,5.45,52.23,337.53,55.91,52.3,66.96699679759645
NZL,2025-01-19 16:08:00,-36.8337012,174.7672138,29.51,29.75,16.61,43.68,37.51,61.34,24.7,-7.49,18.75,0.2,21.34,-17.01,-12.57,0.0,-8.56,-4.07,0.59,17.45,26.96,-2.26,-7.5,-35.45,349.78,136.83,7.04,0.68,4.25,6.51,5.0,0.84,1.71,7.0,0.0,25011905.0,0.91,-0.05,74.54,356.53,7.84,75.7,64.2720960203603
NZL,2025-01-19 16:08:10,-36.8326304,174.7670408,53.23,52.28,339.0,81.21,37.09,63.93,30.3,-1.99,343.38,-2.39,10.56,-17.03,-13.74,0.0,-10.87,-7.81,-4.43,12.56,24.65,-1.0,-1.92,905.56,861.83,905.04,1.7,0.89,0.86,3.44,5.0,-0.82,1.71,7.0,1.0,25011905.0,-9.19,-0.1,40.31,348.11,1.6,40.1,62.91402663216278
NZL,2025-01-19 16:08:20,-36.8312874,174.7662864,63.92,62.81,334.11,87.95,34.97,61.17,27.27,-0.18,337.17,-1.61,2.11,-17.04,-11.81,0.0,-7.26,-2.25,2.26,19.25,26.13,-2.5,-0.82,961.92,831.62,879.41,1.22,1.35,1.25,3.11,4.99,-0.79,1.71,7.0,1.0,25011905.0,-19.09,-0.1,26.87,382.53,1.6,26.5,61.96798293520859
NZL,2025-01-19 16:08:30,-36.8297305,174.7654764,74.32,72.86,321.6,91.73,39.92,60.5,27.0,-11.44,321.97,-2.02,-1.3,-17.09,-13.78,0.0,-10.8,-7.94,-5.61,11.54,21.09,-2.41,0.55,809.89,669.36,639.84,4.8,1.22,-0.05,3.03,5.0,-0.85,1.71,7.0,1.0,25011905.0,-29.19,-0.1,15.61,221.21,1.6,15.6,61.11200106556999
NZL,2025-01-19 16:08:40,-36.829307,174.7632346,76.91,75.01,275.67,148.3,40.47,58.95,25.36,-0.93,276.46,-1.03,-66.76,-17.05,-16.98,0.0,-16.95,-16.99,-17.01,0.05,18.12,-1.11,0.48,964.46,861.77,882.96,0.65,1.38,-0.01,1.45,4.99,-0.83,1.71,7.0,2.0,25011905.0,-39.19,-0.1,29.17,208.45,1.6,12.9,59.03699328433216
NZL,2025-01-19 16:08:50,-36.8292569,174.7609891,67.11,65.25,264.1,155.81,41.13,61.18,27.8,-1.88,264.3,-1.17,-61.83,-21.36,-21.9,0.0,-21.78,-21.62,-21.83,-0.5,17.7,-1.13,-1.98,1022.72,1092.63,1049.46,0.93,1.23,0.4,1.55,-0.16,-0.81,1.77,7.0,2.0,25011905.0,-49.19,-0.1,43.68,181.08,1.6,4.9,60.61301333545556
NZL,2025-01-19 16:09:00,-36.8301465,174.7597082,63.31,62.57,208.76,-149.77,43.12,59.01,-42.36,-2.69,208.21,-1.98,-54.4,23.67,20.86,0.0,17.66,13.73,13.16,-10.56,-16.8,-1.65,1.19,654.15,598.88,513.21,-0.4,1.24,1.07,5.0,2.82,-0.79,-0.21,7.0,2.0,25011905.0,-59.09,-0.1,48.39,230.4,1.6,17.4,60.06900640203117
NZL,2025-01-19 16:09:10,-36.8316524,174.7584135,81.45,80.45,219.5,-153.78,46.37,62.58,-27.21,0.76,218.08,-0.04,-74.78,23.66,18.7,0.0,14.46,10.41,6.15,-17.56,-15.95,-1.17,0.02,1339.14,1350.46,1332.02,-2.51,1.25,-0.44,4.99,0.5,-0.8,-0.21,7.0,2.0,25011905.0,-69.19,-0.1,26.97,354.71,1.6,8.8,60.76299621031118
NZL,2025-01-19 16:09:20,-36.8331508,174.7567775,79.95,78.73,219.85,-160.25,41.78,63.69,-20.48,1.32,219.24,-1.04,-76.23,23.66,18.93,0.0,14.84,10.32,5.14,-18.4,-14.64,-1.45,3.31,1010.67,937.55,905.35,-1.71,1.07,-0.67,4.99,0.75,-0.8,-0.22,7.0,2.0,25011905.0,-79.19,-0.1,17.17,359.72,1.6,0.2,63.570001805818904
