BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
SUI,2025-01-19 16:06:01,-36.8339406,174.7610451,5.85,6.12,33.52,17.13,35.2,56.88,14.85,-0.49,36.5,1.0,5.26,-16.79,-9.08,0.0,-0.55,8.37,18.16,34.94,12.77,-0.62,-1.38,44.43,14.48,83.08,-7.64,1.97,7.5,-1.46,2.99,5.48,-2.45,7.0,0.0,25011905.0,120.17,51.35,489.44,288.16,-206.74,535.2,56.88
SUI,2025-01-19 16:06:10,-36.8337896,174.7612096,7.81,9.69,51.5,21.23,37.21,58.72,17.75,2.11,58.55,1.0,7.49,-16.78,-9.16,0.0,-0.79,8.16,17.76,34.54,10.25,1.78,-0.55,47.37,20.27,188.63,-11.17,1.97,7.49,-1.46,-3.94,5.48,6.86,7.0,0.0,25011905.0,111.17,44.95,349.02,308.38,-214.01,340.8,56.427947518634795
SUI,2025-01-19 16:06:20,-36.8337499,174.7614149,2.19,4.45,68.7,11.44,38.75,68.18,10.88,0.52,92.85,1.0,2.15,-16.6,-9.14,0.0,-0.88,8.03,17.62,34.22,3.2,-0.77,1.28,-24.14,10.35,101.16,-12.17,1.97,-7.47,0.47,0.95,5.47,5.82,7.0,0.0,25011905.0,101.17,-100.0,719.45,322.42,-215.84,722.7,63.70580345172774
SUI,2025-01-19 16:06:30,-36.8337947,174.7615179,1.77,3.7,74.77,-9.05,34.58,69.73,-8.56,-0.69,121.88,1.0,1.7,-19.2,-11.55,0.0,-5.13,2.28,9.5,28.9,-2.75,-1.5,2.56,-33.81,-90.14,-33.04,23.48,1.98,7.47,0.48,1.68,5.47,5.83,7.0,0.0,25011905.0,91.27,-100.0,703.17,322.96,-214.42,888.1,69.9830034125994
SUI,2025-01-19 16:06:40,-36.8338359,174.7617291,3.04,5.19,82.75,-12.56,31.37,66.28,-11.37,2.35,108.47,1.0,2.98,-17.46,-11.51,0.0,-3.82,4.01,12.34,29.73,-0.94,-0.78,0.24,112.59,-3.54,488.42,-20.67,1.98,7.47,5.0,1.11,5.46,5.83,7.0,0.0,25011905.0,81.27,-100.0,604.74,331.48,-195.02,528.9,67.44498146767194
SUI,2025-01-19 16:06:50,-36.8338972,174.7619055,3.77,6.01,90.8,-29.91,30.22,66.26,-26.59,-0.38,111.86,1.0,3.24,-22.21,-20.48,0.0,-18.39,-16.42,-14.23,7.96,-1.71,-2.23,0.64,38.45,-94.52,-165.75,-20.94,1.97,7.46,5.0,1.11,5.46,5.85,7.0,0.0,25011905.0,71.27,-100.0,514.44,336.69,-176.08,501.4,66.93200113852872
SUI,2025-01-19 16:07:00,-36.8339989,174.7621833,15.04,16.93,104.42,-47.57,26.25,63.24,-32.45,1.81,109.91,-7.02,7.03,15.77,11.81,0.0,7.23,2.17,-2.91,-18.64,-19.53,-1.42,2.99,20.65,-54.46,28.9,-4.72,1.97,7.46,2.99,1.92,-2.72,5.88,7.0,0.0,25011905.0,61.27,-100.0,180.76,345.15,-158.61,190.2,64.58500452144743
SUI,2025-01-19 16:07:10,-36.8343523,174.7629912,36.99,39.32,117.59,-67.07,30.45,60.25,-31.66,-0.54,120.19,-3.65,9.06,17.2,8.9,0.0,-0.18,-10.13,-20.57,-37.78,-24.19,3.93,10.61,1380.95,1048.63,1439.69,1.71,1.96,5.15,2.99,0.64,-2.73,5.98,7.0,0.0,25011905.0,51.27,-100.0,56.32,367.98,-93.72,55.6,61.76101456173709
SUI,2025-01-19 16:07:20,-36.8348875,174.7642717,49.54,51.84,117.41,-71.15,33.37,53.23,-28.94,-0.83,118.94,-1.95,15.68,17.3,10.25,0.0,2.57,-5.8,-14.78,-32.08,-16.14,-0.33,1.61,704.48,680.47,779.39,0.54,2.62,4.58,2.99,2.61,-2.72,5.97,7.0,0.0,25011905.0,41.27,-100.0,35.85,335.43,3.33,36.5,56.21694458572272
SUI,2025-01-19 16:07:30,-36.8354921,174.7657161,48.43,50.97,113.25,-47.76,33.69,56.93,-20.4,-2.38,114.85,-1.21,35.49,17.34,11.69,0.0,5.79,-0.89,-7.68,-25.01,-14.55,-0.85,2.38,574.56,477.49,547.38,0.94,2.77,4.97,-2.21,2.88,0.77,5.99,7.0,0.0,25011905.0,31.27,12.35,28.55,242.59,119.9,28.1,53.74482720443677
SUI,2025-01-19 16:07:40,-36.8352485,174.7666223,23.51,24.26,32.71,30.59,36.89,61.14,17.98,-3.85,40.1,-1.56,20.18,-17.37,-15.9,0.0,-14.36,-12.66,-11.14,6.22,28.0,-1.37,-2.84,-137.72,53.22,122.39,5.72,2.53,7.5,-2.2,3.77,-0.3,5.88,7.0,0.0,25011905.0,21.27,8.5,84.15,243.59,140.86,85.1,59.61301824480796
SUI,2025-01-19 16:07:50,-36.8346385,174.7670028,30.35,30.65,21.21,46.14,36.04,63.79,25.64,-3.33,25.0,0.9,21.49,-17.39,-13.45,0.0,-9.01,-4.34,1.17,18.42,17.76,-0.15,-6.71,83.29,456.82,403.53,1.28,1.5,5.61,5.47,2.99,-0.27,-2.67,7.0,0.0,25011905.0,11.27,3.95,76.88,301.8,96.49,74.1,62.27098245832545
SUI,2025-01-19 16:08:00,-36.8338639,174.7673288,36.27,36.14,11.5,61.67,34.63,65.34,30.54,0.03,13.83,1.58,11.8,-17.31,-9.02,0.0,0.22,10.17,20.48,37.78,19.87,2.93,-2.24,952.22,878.18,1404.4,1.39,1.72,4.71,3.42,2.99,4.12,-2.67,7.0,0.0,25011905.0,1.17,-1.5,60.89,351.05,30.58,61.9,64.86300229458693
SUI,2025-01-19 16:08:10,-36.832736,174.7675347,52.63,51.54,344.87,76.37,37.48,67.79,30.03,-4.88,349.07,-1.09,8.83,-17.42,-12.69,0.0,-7.95,-2.9,2.13,19.6,17.18,-2.84,0.06,802.12,837.78,647.36,2.14,1.97,2.82,6.52,2.99,-0.02,-2.67,7.0,1.0,25011905.0,-8.83,-1.8,38.83,308.43,20.59,38.6,67.87103782687238
SUI,2025-01-19 16:08:20,-36.8313784,174.7670287,58.32,57.42,338.63,83.03,34.29,64.2,28.73,-0.55,340.18,0.41,-3.09,-17.37,-11.27,0.0,-4.71,2.63,10.05,27.42,13.98,-0.86,-1.61,954.03,1126.38,1087.99,1.2,1.64,2.01,2.36,2.99,-4.97,-2.67,7.0,1.0,25011905.0,-18.83,-1.8,27.57,320.86,20.59,27.6,65.55398564627636
SUI,2025-01-19 16:08:30,-36.8300325,174.7659878,77.38,76.01,319.54,99.26,37.96,60.17,28.92,-1.05,319.01,1.71,-20.08,-17.37,-10.13,0.0,-2.03,6.51,15.31,32.59,19.88,-2.82,-3.38,785.15,891.08,600.55,0.81,1.59,0.62,2.64,4.93,-2.65,-2.67,7.0,1.0,25011905.0,-28.73,-1.8,18.84,251.23,20.59,19.6,61.937978984922346
SUI,2025-01-19 16:08:40,-36.8293835,174.7638788,72.97,71.36,275.84,145.56,35.99,56.87,25.17,1.98,275.04,0.38,-63.55,-25.22,-22.16,0.0,-18.24,-13.73,-8.91,16.3,20.12,-1.0,-2.94,1269.18,1341.19,1317.55,1.37,1.66,0.77,1.09,5.0,-0.77,-2.57,7.0,2.0,25011905.0,-38.73,-1.8,35.43,206.0,20.59,15.3,58.33498366882029
SUI,2025-01-19 16:08:50,-36.82909,174.7617479,70.47,68.79,283.2,143.66,42.42,61.03,34.97,0.11,282.93,0.5,-55.52,-27.26,-27.3,0.0,-26.42,-25.78,-24.87,2.33,20.76,-2.42,-1.36,797.88,795.0,691.5,1.39,1.62,1.1,2.71,5.0,-0.78,-2.57,7.0,2.0,25011905.0,-48.73,-1.8,19.12,189.39,20.59,6.8,59.13800483621268
SUI,2025-01-19 16:09:00,-36.8293777,174.7601724,55.71,54.44,198.62,-141.73,38.52,61.98,-45.7,-2.15,199.27,-1.96,-42.89,27.78,21.58,0.0,14.24,6.47,-1.79,-29.55,-21.91,-2.89,4.13,778.27,619.25,632.08,-1.02,1.59,2.32,2.31,4.06,-0.73,-0.09,7.0,2.0,25011905.0,-58.83,-1.8,54.0,160.25,20.59,22.6,62.055000842757124
SUI,2025-01-19 16:09:10,-36.8308887,174.7593768,72.21,70.59,212.71,-143.91,40.39,63.08,-30.27,3.08,209.74,0.66,-62.82,27.83,23.13,0.0,17.9,12.2,6.74,-21.2,-21.55,-3.18,1.75,1371.37,1207.16,1179.9,-3.42,1.64,1.19,2.99,2.92,-0.74,-0.1,7.0,2.0,25011905.0,-68.83,-1.8,37.13,298.91,20.59,13.8,62.069994556276605
SUI,2025-01-19 16:09:20,-36.8324363,174.7578636,78.38,77.88,222.98,-159.49,41.71,65.56,-19.84,-3.16,222.36,0.17,-75.34,27.85,27.86,0.0,27.84,27.65,27.47,-0.39,-17.56,-2.22,-1.02,519.15,545.34,431.4,0.09,1.62,0.38,5.0,2.19,-0.7,-1.25,7.0,2.0,25011905.0,-78.83,-1.8,22.82,421.88,20.59,4.8,65.03301798973024
SUI,2025-01-19 16:09:30,-36.8339369,174.7565298,76.32,75.08,224.19,-161.05,39.98,61.67,-15.2,4.5,219.85,1.32,-72.71,27.85,27.85,0.0,27.71,27.48,27.59,-0.28,-19.6,-2.43,0.45,1302.63,1380.83,1417.18,-4.21,1.63,-0.0,5.0,1.15,-0.64,1.17,7.0,2.0,25011905.0,-88.83,-1.8,14.1,277.31,20.59,0.1,63.01293950127451
