BOAT,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,TWD_avg
USA,2025-01-19 16:06:01,-36.8338887,174.7594428,6.71,9.34,82.44,-20.64,36.93,59.99,-17.36,1.82,93.11,1.0,6.48,0.09,0.23,0.0,0.21,0.09,-0.19,-0.27,-10.14,0.56,0.68,45.81,-826.49,100.12,-5.1,0.97,6.56,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,120.4,-2.15,411.88,257.1,-273.92,410.3,59.99
USA,2025-01-19 16:06:10,-36.8339275,174.7596791,6.42,8.8,89.6,-24.3,37.32,61.78,-20.66,1.37,108.81,1.0,5.86,-19.0,-20.31,0.0,-19.6,-18.45,-17.55,1.39,2.05,-0.55,1.71,56.69,-784.78,-57.19,-13.15,0.95,6.52,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,111.3,-100.0,417.49,251.8,-262.54,416.2,60.90200081793164
USA,2025-01-19 16:06:20,-36.8340692,174.7600926,24.72,26.04,111.53,-42.39,35.2,65.62,-26.13,0.58,112.49,-2.01,17.14,18.16,9.4,0.0,0.11,-9.78,-19.75,-37.91,-20.54,-1.67,6.33,194.57,-775.01,-15.06,-1.19,0.97,5.47,7.0,2.27,-3.52,1.85,7.0,0.0,25011905.0,101.3,-100.0,122.25,246.29,-242.52,125.2,63.96001546165958
USA,2025-01-19 16:06:30,-36.8344005,174.7610775,33.55,35.91,112.74,-45.22,34.89,65.32,-23.51,-0.06,113.14,-0.91,25.03,18.19,13.43,0.0,8.73,3.5,-1.74,-19.93,-20.89,0.35,9.54,757.39,-648.48,732.9,-1.01,0.98,3.83,7.0,2.99,-3.53,1.86,7.0,0.0,25011905.0,91.4,-100.0,78.32,248.67,-179.87,77.3,65.53999974722494
USA,2025-01-19 16:06:40,-36.8347961,174.762171,37.72,40.22,109.04,-51.41,35.49,63.78,-25.17,-1.53,109.31,0.01,25.07,18.19,12.87,0.0,7.49,1.82,-3.26,-21.59,-22.0,0.68,6.83,683.52,-796.99,652.32,0.74,0.99,2.86,7.0,2.46,-3.53,1.9,7.0,0.0,25011905.0,81.3,-100.0,65.51,279.23,-90.07,63.1,65.13801454093338
USA,2025-01-19 16:06:50,-36.8351794,174.7633591,42.08,44.2,113.75,-53.95,37.67,61.1,-25.91,1.92,113.36,-0.34,23.78,18.12,8.92,0.0,-0.6,-10.65,-21.23,-39.36,-23.7,-0.14,9.03,795.82,-810.43,692.58,-1.4,0.97,2.34,6.99,2.6,-3.53,1.91,7.0,0.0,25011905.0,71.4,-100.0,45.09,321.28,0.23,46.9,62.091996865502026
USA,2025-01-19 16:07:00,-36.8356263,174.7646292,39.26,42.07,114.85,-49.94,37.21,59.72,-24.64,1.31,115.13,-1.17,28.43,18.22,15.75,0.0,13.11,10.69,7.49,-10.67,-28.35,0.79,7.72,626.64,-511.77,548.72,-1.35,0.97,2.68,6.99,1.02,-3.52,1.92,7.0,0.0,25011905.0,61.4,-100.0,35.18,248.73,92.73,35.3,60.07599524714123
USA,2025-01-19 16:07:10,-36.8361214,174.765641,36.01,38.02,123.62,-53.83,34.9,66.61,-26.51,-0.94,123.55,-0.44,18.46,18.19,14.15,0.0,10.05,5.44,0.85,-17.33,-28.33,-0.01,8.31,732.27,-578.83,681.09,-0.27,0.98,3.15,6.99,2.29,-3.52,1.92,7.0,0.0,25011905.0,51.3,32.4,23.46,174.56,182.27,23.3,63.59807589634133
USA,2025-01-19 16:07:20,-36.8362242,174.7664069,16.64,17.4,44.18,27.12,36.9,68.57,19.46,-3.88,48.77,2.2,14.89,-18.27,-15.67,0.0,-13.17,-10.3,-7.53,10.73,18.4,-0.62,-4.18,-122.94,-658.93,77.9,6.86,0.98,-3.61,-2.86,1.37,1.72,1.89,7.0,0.0,25011905.0,41.3,22.6,114.08,143.3,230.68,109.6,67.5119957833873
USA,2025-01-19 16:07:30,-36.8358275,174.7668403,19.61,21.67,50.45,27.16,38.05,69.76,17.88,3.54,53.49,0.65,17.71,-18.16,-13.26,0.0,-7.93,-2.26,3.95,22.0,15.2,1.28,-0.05,13.38,-683.85,222.89,-6.53,0.97,5.54,4.02,7.01,0.93,-3.97,7.0,0.0,25011905.0,31.4,16.3,80.73,177.94,207.75,80.2,69.05799817238535
